"Year","depart","land","lat1","lon1","state.x","lat2","lon2","state.y"
2003,"GRR","DCA",42.880833,-85.522806,"Michigan",38.852083,-77.037722,"District of Columbia"
2005,"ISP","SAT",40.79525,-73.100222,"New York",29.533694,-98.469778,"Texas"
2001,"CLT","JFK",35.214,-80.943139,"North Carolina",40.639751,-73.778925,"New York"
2002,"DAL","SAT",32.847111,-96.851778,"Texas",29.533694,-98.469778,"Texas"
2011,"SNA","MEM",33.675667,-117.868222,"California",35.042417,-89.976667,"Tennessee"
1996,"COS","JFK",38.805805,-104.700778,"Colorado",40.639751,-73.778925,"New York"
2013,"MIA","SAT",25.79325,-80.290556,"Florida",29.533694,-98.469778,"Texas"
1998,"PVD","OAK",41.732581,-71.420383,"Rhode Island",37.721278,-122.220722,"California"
1996,"SJC","TUL",37.3626,-121.929022,"California",36.198389,-95.888111,"Oklahoma"
2000,"DAY","BUR",39.902375,-84.219375,"Ohio",34.200667,-118.358667,"California"
2001,"STL","TPA",38.748697,-90.370028,"Missouri",27.975472,-82.53325,"Florida"
2005,"LAS","LIT",36.080056,-115.15225,"Nevada",34.729444,-92.224306,"Arkansas"
2007,"MIA","SFO",25.79325,-80.290556,"Florida",37.618972,-122.374889,"California"
2009,"ONT","SAT",34.056,-117.601194,"California",29.533694,-98.469778,"Texas"
2001,"CAK","TPA",40.9160833,-81.4421944,"Ohio",27.975472,-82.53325,"Florida"
2009,"BUR","TUS",34.200667,-118.358667,"California",32.116083,-110.941028,"Arizona"
1997,"DFW","OKC",32.896828,-97.037997,"Texas",35.393089,-97.600733,"Oklahoma"
1999,"CMH","OAK",39.997972,-82.891889,"Ohio",37.721278,-122.220722,"California"
2005,"SNA","TUL",33.675667,-117.868222,"California",36.198389,-95.888111,"Oklahoma"
2007,"RSW","ONT",26.536167,-81.755167,"Florida",34.056,-117.601194,"California"
1999,"MYR","HPN",33.67975,-78.928333,"South Carolina",41.066959,-73.707575,"New York"
2013,"MIA","HPN",25.79325,-80.290556,"Florida",41.066959,-73.707575,"New York"
1998,"PIE","DCA",27.910167,-82.687389,"Florida",38.852083,-77.037722,"District of Columbia"
1997,"SNA","MSP",33.675667,-117.868222,"California",44.881956,-93.221767,"Minnesota"
2001,"IAH","PHF",29.984433,-95.341442,"Texas",37.131894,-76.492989,"Virginia"
2000,"DAL","MCO",32.847111,-96.851778,"Texas",28.429394,-81.308994,"Florida"
2006,"XNA","LAX",36.2818694,-94.3068111,"Arkansas",33.942536,-118.408075,"California"
2013,"EWR","STL",40.6925,-74.168667,"New Jersey",38.748697,-90.370028,"Missouri"
2008,"CAK","MSP",40.9160833,-81.4421944,"Ohio",44.881956,-93.221767,"Minnesota"
2008,"ONT","MKE",34.056,-117.601194,"California",42.947222,-87.896583,"Wisconsin"
2004,"OKC","DCA",35.393089,-97.600733,"Oklahoma",38.852083,-77.037722,"District of Columbia"
2012,"LAS","SWF",36.080056,-115.15225,"Nevada",41.504094,-74.104839,"New York"
1993,"SFO","SEA",37.618972,-122.374889,"California",47.449,-122.309306,"Washington"
2003,"MSN","IAD",43.139858,-89.337514,"Wisconsin",38.944533,-77.455811,"Virginia"
1993,"ORD","TUS",41.978603,-87.904842,"Illinois",32.116083,-110.941028,"Arizona"
2012,"LAS","ISP",36.080056,-115.15225,"Nevada",40.79525,-73.100222,"New York"
2008,"LGB","MSN",33.817722,-118.151611,"California",43.139858,-89.337514,"Wisconsin"
2000,"MCI","BNA",39.297606,-94.713905,"Missouri",36.124472,-86.678194,"Tennessee"
2007,"DEN","LAX",39.861656,-104.673178,"Colorado",33.942536,-118.408075,"California"
2008,"ORD","SMF",41.978603,-87.904842,"Illinois",38.695417,-121.590778,"California"
2001,"CLE","LGA",41.411689,-81.849794,"Ohio",40.777245,-73.872608,"New York"
2006,"SAN","SFO",32.733556,-117.189667,"California",37.618972,-122.374889,"California"
2005,"AMA","DFW",35.219369,-101.705931,"Texas",32.896828,-97.037997,"Texas"
1994,"ATL","BUR",33.636719,-84.428067,"Georgia",34.200667,-118.358667,"California"
